Transport_ID,TripID,RouteID,StopID,StopName,WeekBeginning,NumberOfBoardings
T283,49530,B10,13324,X1 West Tce,2013-06-30 00:00:00,1
T284,44812,118,12602,30 Tapleys Hill Rd,2014-01-05 00:00:00,1
T285,58484,G10,14777,23 Fiveash Dr,2013-08-04 00:00:00,1
T286,45294,157,13292,U1 North Tce,2013-09-29 00:00:00,20
T287,16023,743,16107,54 Honeypot Rd,2013-08-04 00:00:00,3
T288,11928,168,13373,Y2 Currie St,2014-05-04 00:00:00,1
T289,28083,262,14707,30 Brighton Rd,2013-12-15 00:00:00,3
T290,31062,861,13975,11 Glen Osmond Rd,2013-06-30 00:00:00,2
T291,13829,141,13399,9 Kensington Rd,2014-02-09 00:00:00,4
T292,18336,864F,14899,48 Mount Barker Rd,2014-05-11 00:00:00,3
T293,4041,C2,13354,D1 Currie St,2013-12-29 00:00:00,1
T294,50543,H30,16351,29D Military Rd,2013-10-27 00:00:00,1
T295,47155,230,12826,7A Torrens Rd,2013-07-07 00:00:00,2
T296,11819,J1,17978,8A Sir Donald Bradman Dr,2014-06-22 00:00:00,10
T297,1656,230,12765,9 Torrens Rd,2013-12-22 00:00:00,1
T298,27693,228F,10281,57 Main North Rd,2014-05-18 00:00:00,5
T299,46470,178,12202,48 Silkes Rd,2013-06-30 00:00:00,3
T300,15873,G21,15301,38A Black Rd,2014-05-25 00:00:00,17
T301,3194,239,12859,7 Jeffcott St,2014-05-18 00:00:00,1
T302,27506,224F,13003,4 O'Connell St,2014-06-08 00:00:00,1
T303,48727,719,14893,25A Main South Rd,2013-08-25 00:00:00,1
T304,36799,560,10265,60 Philip Hwy,2013-09-01 00:00:00,2
T305,429,723F,15432,35A Bluehills Rd,2014-06-08 00:00:00,1
T306,27517,224F,12139,18 Main North Rd,2013-12-15 00:00:00,2
T307,15533,G10C,12623,11 Prospect Rd,2014-03-02 00:00:00,2
T308,56511,190,14254,12 Belair Rd,2013-09-01 00:00:00,8
T309,50529,H30,16346,30A Military Rd,2013-07-21 00:00:00,9
T310,27773,228X,10258,60 Midway Rd,2014-06-29 00:00:00,2
T311,7421,503,11410,44 Wright Rd,2014-03-30 00:00:00,1
T312,15758,263,14844,33 Brighton Rd,2014-04-20 00:00:00,1
T313,51544,W90,14866,27A Bradley Gr,2014-01-05 00:00:00,2
T314,18407,542X,10968,58 Haines Rd,2014-03-30 00:00:00,19
T315,27200,208,11830,27C Sir Ross Smith Bvd,2013-09-15 00:00:00,1
T316,7158,230,11587,Zone C Port Adelaide Interchan,2014-06-01 00:00:00,1
T317,1232,734,16041,Zone E Colonnades Interchange,2013-12-22 00:00:00,12
T318,3610,451,10101,73 Peachey Rd,2014-03-30 00:00:00,1
T319,50058,H20,13774,8H  Marion Rd,2013-10-20 00:00:00,2
T320,6567,196F,14281,13 Belair Rd,2014-05-25 00:00:00,3
T321,5836,H33C,12990,11 Coorara Av,2014-03-16 00:00:00,1
T322,58995,M44,12126,Zone D Paradise Interchange,2014-01-19 00:00:00,7
T323,6591,230,12861,7 Jeffcott St,2014-06-22 00:00:00,2
T324,17066,253,16279,X2 King William St,2013-09-01 00:00:00,37
T325,63469,720H,15701,45A Grant Rd,2014-03-23 00:00:00,2
T326,6977,230,11748,35 Grand Junction Rd,2014-02-09 00:00:00,1
T327,27504,224F,12465,14 Main North Rd,2014-02-02 00:00:00,3
T328,48290,500,10528,Zone H Salisbury Interchange,2013-09-15 00:00:00,36
T329,48804,721F,17878,39 Main South Rd,2013-09-15 00:00:00,2
T330,28650,442,10224,Zone B Elizabeth City Centre,2014-06-15 00:00:00,22
T331,7356,502,10889,43 Bridge Rd,2014-06-29 00:00:00,7
T332,31682,C2,17954,78B Sandstock Bvd,2013-07-07 00:00:00,1
T333,27699,228F,10191,68 Yorktown Rd,2013-08-18 00:00:00,4
T334,10595,209F,11481,32 Briens Rd,2014-03-23 00:00:00,1
T335,59022,M44,14434,17 Marion Rd,2013-10-27 00:00:00,11
T336,27691,228F,13078,2 King William Rd,2013-08-11 00:00:00,2
T337,48798,721F,15785,49 Main South Rd,2013-09-29 00:00:00,2
T338,663,400,10245,62 Midway Rd,2014-05-04 00:00:00,1
T339,17375,502,11800,28 Sudholz Rd,2013-07-14 00:00:00,3
T340,5927,300,12463,220 Woodville Rd,2014-03-30 00:00:00,2
T341,61867,744,16130,51B Brodie Rd,2013-11-24 00:00:00,1
T342,45144,147,13548,J1 Hutt St,2013-11-03 00:00:00,1
T343,36802,560,10645,46B Smith St,2013-11-24 00:00:00,3
T344,7022,232,12315,21 Regency Rd,2014-03-16 00:00:00,1
T345,27778,228X,16275,Z2 King William St,2013-07-28 00:00:00,27
T346,28622,442,17316,84 Somerset Gr,2014-05-25 00:00:00,2
T347,50570,H30,12985,12 Coorara Av,2013-10-27 00:00:00,1
T348,42274,N4,14841,28A Morphett Rd,2013-09-08 00:00:00,4
T349,27219,208B,12994,4 Melbourne St,2013-07-21 00:00:00,1
T350,10767,H22,16415,5 Henley Beach Rd,2014-01-26 00:00:00,3
T351,44791,117,12438,32 Tapleys Hill Rd,2013-08-25 00:00:00,2
T352,44695,100,14129,174 Cross Rd,2013-11-03 00:00:00,1
T353,27554,225,11609,26 Port Wakefield Rd,2013-10-13 00:00:00,1
T354,30950,838H,18620,64A Cameron Rd,2013-12-29 00:00:00,3
T355,15939,G40,16282,C2 King William St,2014-06-29 00:00:00,48
T356,28720,461,18175,77E Andrews Rd,2014-01-12 00:00:00,1
T357,58881,M44,14432,17 Marion Rd,2013-09-01 00:00:00,3
T358,47341,232,12312,19 Regency Rd,2013-07-07 00:00:00,3
T359,31243,864,14814,37 Mount Barker Rd,2013-12-22 00:00:00,1
T360,11572,248,13457,W2 Grote St,2014-02-23 00:00:00,45
T361,17895,541G,10788,Zone D Golden Grove Village In,2014-06-01 00:00:00,6
T362,45611,170,13790,3 George St,2013-12-22 00:00:00,1
T363,975,734,16020,66 Beach Rd,2014-05-04 00:00:00,1
T364,50065,H20,16417,5 Henley Beach Rd,2013-07-21 00:00:00,3
T365,10025,204,12195,20A Muller Rd,2014-02-16 00:00:00,1
T366,31064,861,13926,10 Glen Osmond Rd,2013-11-10 00:00:00,5
T367,12291,J1,13371,B1 Currie St,2014-03-09 00:00:00,2
T368,14118,273,13062,2A Melbourne St,2014-06-29 00:00:00,2
T369,52988,254,12540,18 Torrens Rd,2013-09-01 00:00:00,1
T370,11535,245,13829,3 Anzac Hwy,2014-02-02 00:00:00,1
T371,17366,502,10570,48 Park Tce,2013-07-21 00:00:00,1
T372,14260,178,13021,8 Payneham Rd,2014-02-02 00:00:00,6
T373,27656,228,10355,55 Main North Rd,2014-06-22 00:00:00,1
T374,27406,222,17265,33F Mawson Lakes Bvd,2013-08-25 00:00:00,1
T375,13751,174,12622,18 / 18C Lower North East Rd,2014-03-23 00:00:00,1
T376,13533,281,12644,13 Vale St,2014-04-20 00:00:00,4
